time,value
2006-11,140.53
2006-12,141.62
2007-01,143.75
2007-02,140.93
2007-03,142
2007-04,148.29
2007-05,153.32
2007-06,150.43
2007-07,145.72
2007-08,147.59
2007-09,152.58
2007-10,154.65
2007-11,148.66
2007-12,146.21
2008-01,137.37
2008-02,133.82
2008-03,131.97
2008-04,138.26
2008-05,140.35
2008-06,127.98
2008-07,126.83
2008-08,128.79
2008-09,115.99
2008-10,96.83
2008-11,90.09
2008-12,90.24
2009-01,82.83
2009-02,73.93
2009-03,79.52
2009-04,87.42
2009-05,92.53
2009-06,91.95
2009-07,98.81
2009-08,102.46
2009-09,105.59
2009-10,103.56
2009-11,109.94
2009-12,111.44
2010-01,107.39
2010-02,110.74
2010-03,117
2010-04,118.81
2010-05,109.37
2010-06,103.22
2010-07,110.27
2010-08,105.31
2010-09,114.13
2010-10,118.49
2010-11,118.49
2010-12,125.75
2011-01,128.68
2011-02,133.15
2011-03,132.59
2011-04,136.43
2011-05,134.9
2011-06,131.97
2011-07,129.33
2011-08,122.22
2011-09,113.15
2011-10,125.5
2011-11,124.99
2011-12,125.5
2012-01,131.32
2012-02,137.02
2012-03,140.81
2012-04,139.87
2012-05,131.47
2012-06,136.1
2012-07,137.71
2012-08,141.16
2012-09,143.97
2012-10,141.35
2012-11,142.15
2012-12,142.41
2013-01,149.7
2013-02,151.61
2013-03,156.67
2013-04,159.68
2013-05,163.45
2013-06,160.42
2013-07,168.71
2013-08,163.65
2013-09,168.01
2013-10,175.79
2013-11,181
2013-12,184.69
2014-01,178.18
2014-02,186.29
2014-03,187.01
2014-04,188.31
2014-05,192.68
2014-06,195.72
2014-07,193.09
2014-08,200.71
2014-09,197.02
2014-10,201.66
2014-11,207.2
2014-12,205.54
2015-01,199.45
2015-02,210.66
2015-03,206.43
2015-04,208.46
2015-05,211.14
2015-06,205.85
2015-07,210.5
2015-08,197.67
2015-09,191.63
2015-10,207.93
2015-11,208.69
2015-12,203.87
2016-01,193.72
2016-02,193.56
2016-03,205.52
2016-04,206.33
2016-05,209.84
2016-06,209.48
2016-07,217.12
2016-08,217.38
2016-09,216.3
2016-10,212.55
2016-11,220.38
2016-12,223.53
2017-01,227.53
2017-02,236.47
2017-03,235.74
2017-04,238.08
2017-05,241.44
2017-06,241.8
2017-07,246.77
2017-08,247.49
2017-09,251.23
2017-10,257.15
2017-11,265.01
2017-12,266.86
2018-01,281.9
2018-02,271.65
2018-03,263.15
2018-04,264.51
2018-05,270.94
2018-06,271.28
2018-07,281.33
2018-08,290.31
2018-09,290.72
2018-10,270.63
2018-11,275.65
2018-12,249.92
2019-01,269.93
2019-02,278.68
2019-03,282.48
2019-04,294.02
2019-05,275.27
2019-06,293
2019-07,297.43
2019-08,292.45
2019-09,296.77
2019-10,303.33
2019-11,314.31
2019-12,321.86
2020-01,321.73
2020-02,296.26
2020-03,257.75
2020-04,290.48
2020-05,304.32
2020-06,308.36
2020-07,326.52
2020-08,349.31
2020-09,334.89
2020-10,326.54
2020-11,362.06
2020-12,373.88
2021-01,370.07
2021-02,380.36
2021-03,396.33
2021-04,417.3
2021-05,420.04
2021-06,428.06
2021-07,438.51
2021-08,451.56
2021-09,429.14
2021-10,459.25
2021-11,455.56
2021-12,474.96
2022-01,449.91
2022-02,436.63
2022-03,451.64
2022-04,412
2022-05,412.93
2022-06,377.25
2022-07,401.04
